"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","sexo_pil","edad_fall","g_edad","edad_m1","tipo_vehi","color_vehi","modelo_vehi","causa_acc"
"1",864,25,12,5,999,1,1,1,22,5,1,4,1,9999,1
"2",656,25,8,2,0,16,2,1,43,7,1,3,1,1986,4
"3",116,19,2,4,0,14,2,2,1,1,2,3,5,1987,3
"4",170,7,3,6,0,5,2,1,28,6,1,4,1,1988,2
"5",291,19,4,7,0,19,1,1,17,4,2,4,5,1991,1
"6",392,4,6,4,0,17,1,2,34,6,1,3,3,1994,1
"7",217,23,3,1,0,22,2,1,20,5,1,1,6,1998,2
"8",458,30,6,2,0,14,2,1,24,5,1,9,14,2004,3
"9",829,9,12,3,0,19,2,1,19,4,1,4,4,2005,4
"10",692,16,9,3,0,5,2,1,43,7,1,4,1,2006,2
"11",772,3,11,2,0,22,2,1,21,5,1,1,5,2006,2
"12",169,7,3,6,0,9,1,1,19,4,1,4,1,2008,1
"13",56,26,1,1,0,21,2,1,28,6,1,3,1,9999,4
"14",104,15,2,7,0,11,2,1,30,6,1,4,1,9999,4
"15",187,10,3,2,0,14,2,1,30,6,1,4,1,9999,1
"16",456,30,6,2,0,1,1,1,21,5,1,4,1,9999,2
"17",469,5,7,7,0,18,2,2,32,6,1,4,1,9999,1
"18",781,8,11,7,0,21,2,1,46,8,1,3,1,9999,2
"19",246,6,4,1,0,20,2,1,13,3,2,3,2,9999,4
"20",809,4,12,5,0,5,2,1,40,7,1,4,3,9999,4
"21",84,7,2,6,0,7,2,1,35,7,1,9,4,9999,2
"22",431,20,6,6,0,5,2,1,38,7,1,1,4,9999,1
"23",847,20,12,7,0,13,2,1,73,10,1,2,4,9999,3
"24",207,19,3,4,0,5,2,1,33,6,1,1,6,9999,2
"25",320,28,4,2,0,3,1,1,38,7,1,1,6,9999,2
"26",711,26,9,6,0,20,2,2,21,5,1,1,6,9999,3
"27",50,25,1,7,0,1,2,1,18,4,1,1,11,9999,2
"28",399,6,6,6,0,3,2,1,20,5,1,4,99,9999,1
"29",446,25,6,5,0,1,1,1,32,6,1,4,99,9999,1
"30",660,27,8,4,0,1,1,1,19,4,1,3,99,9999,1
"31",710,26,9,6,0,1,1,1,25,6,1,1,99,9999,2
"32",88,8,2,7,1,2,2,1,22,5,1,1,4,1997,1
"33",13,3,1,6,1,1,1,1,28,6,1,1,14,2002,2
"34",683,8,9,2,1,13,2,1,35,7,1,3,5,2005,4
"35",239,2,4,4,1,9,2,1,23,5,1,4,3,2007,2
"36",361,19,5,2,1,19,2,1,31,6,1,4,1,2008,2
"37",433,20,6,6,1,18,2,1,36,7,1,4,1,2009,4
"38",241,4,4,6,1,1,2,1,35,7,1,3,1,9999,1
"39",323,1,5,5,1,5,2,1,24,5,1,4,1,9999,1
"40",324,1,5,5,1,5,2,2,999,11,1,4,1,9999,1
"41",352,16,5,6,1,1,1,1,32,6,1,1,1,9999,2
"42",734,10,10,6,1,1,1,1,26,6,1,3,1,9999,1
"43",735,10,10,6,1,1,1,1,22,5,1,3,1,9999,1
"44",880,29,12,2,1,5,2,1,48,8,1,3,1,9999,3
"45",100,14,2,6,1,1,2,1,22,5,1,1,2,9999,1
"46",101,14,2,6,1,1,2,1,22,5,1,1,2,9999,1
"47",190,13,3,5,1,1,1,1,27,6,1,1,3,9999,3
"48",803,30,11,1,1,1,2,1,24,5,1,8,3,9999,4
"49",453,28,6,7,1,1,1,1,30,6,1,4,5,9999,2
"50",454,28,6,7,1,1,1,1,19,4,1,4,5,9999,2
"51",527,2,8,7,1,17,2,1,23,5,1,4,5,9999,2
"52",580,2,8,7,1,17,2,1,23,5,1,4,5,9999,2
"53",604,2,8,7,1,17,2,1,23,5,1,4,5,9999,2
"54",780,8,11,7,1,1,1,1,41,7,1,4,5,9999,1
"55",449,27,6,6,1,1,2,1,32,6,1,8,6,9999,3
"56",790,20,11,5,1,18,2,1,34,6,1,4,7,9999,2
"57",468,5,7,7,1,1,2,1,22,5,1,4,9,9999,1
"58",121,21,2,6,1,1,1,1,24,5,1,4,99,9999,2
"59",182,8,3,7,1,2,2,1,31,6,1,4,99,9999,2
"60",189,12,3,4,1,2,2,1,58,9,1,1,99,9999,3
"61",488,17,7,5,2,1,1,1,30,6,1,1,11,1990,3
"62",164,4,3,3,2,22,2,1,22,5,1,3,5,1993,1
"63",31,14,1,3,2,10,2,1,54,8,1,2,6,2000,3
"64",848,20,12,7,2,18,2,1,36,7,1,1,99,2004,2
"65",697,19,9,6,2,4,2,1,30,6,1,4,99,2007,1
