"","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_fall_les","edad_fall_les","g_edad","lesio_fall","tipo_vehi","Causa_acc"
"1",23,9,4,7,1,1,5,2,999,11,1,1,1
"2",23,9,4,7,1,1,5,2,999,11,1,1,1
"3",28,3,7,4,1,1,7,2,999,11,2,1,1
"4",7,8,6,8,1,1,7,1,999,11,1,1,1
"5",5,7,1,20,1,1,7,1,999,11,1,1,1
"6",11,7,7,23,1,1,11,1,999,11,1,1,1
"7",29,12,3,23,1,1,12,1,999,11,1,1,1
"8",10,7,5,10,1,1,13,2,999,11,1,1,1
"9",28,7,3,9,1,1,1,1,999,11,1,3,1
"10",28,7,3,9,1,1,1,2,999,11,1,3,1
"11",28,7,3,9,1,1,1,1,999,11,1,3,1
"12",31,3,3,15,1,1,1,1,999,11,1,3,1
"13",19,7,1,13,1,1,2,2,999,11,1,3,1
"14",11,5,2,10,1,1,12,1,999,11,1,3,1
"15",11,5,2,10,1,1,12,1,999,11,1,3,1
"16",5,3,5,21,1,1,3,1,999,11,1,4,1
"17",18,12,6,12,1,1,7,1,999,11,1,4,1
"18",16,6,3,19,1,1,9,1,999,11,1,4,1
"19",19,11,5,12,1,1,12,1,999,11,1,4,1
"20",23,7,5,18,1,1,13,1,999,11,1,4,1
"21",1,4,4,17,1,1,17,1,999,11,1,4,1
"22",25,3,4,13,1,1,1,2,999,11,1,5,1
"23",13,9,1,20,1,1,9,1,999,11,1,7,1
"24",1,7,4,1,1,1,13,1,999,11,1,9,1
"25",30,12,4,17,1,1,1,1,999,11,1,99,1
"26",8,8,7,3,1,1,18,1,999,11,2,1,2
"27",8,8,7,3,1,1,18,1,999,11,1,1,2
"28",4,8,3,14,1,1,16,1,999,11,1,3,2
"29",11,9,6,23,1,1,11,1,999,11,1,4,2
"30",11,9,6,23,1,1,11,2,999,11,1,4,2
"31",14,3,7,7,1,1,9,1,999,11,1,12,3
"32",14,3,7,7,1,1,9,1,999,11,1,12,3
"33",14,3,7,7,1,1,9,1,999,11,1,12,3
"34",14,3,7,7,1,1,9,1,999,11,1,12,3
"35",14,3,7,7,1,1,9,1,999,11,1,12,3
"36",13,11,6,1,1,1,5,1,999,11,2,1,4
"37",20,12,1,0,1,1,1,1,4,1,1,1,1
"38",26,2,5,16,1,1,6,2,2,1,1,1,1
"39",16,5,7,16,1,1,7,2,1,1,1,1,1
"40",13,9,1,20,1,1,10,1,1,1,1,1,1
"41",22,11,1,14,1,1,18,2,2,1,1,1,1
"42",7,1,4,13,1,1,8,1,1,1,1,3,1
"43",7,1,4,13,1,1,8,2,3,1,1,3,1
"44",29,12,3,23,1,1,12,1,1,1,1,3,1
"45",15,9,3,13,1,1,1,1,0,1,1,4,1
"46",15,9,3,13,1,1,1,2,2,1,1,4,1
"47",30,11,2,14,1,1,11,1,4,1,1,4,1
"48",25,7,7,14,1,1,12,1,2,1,1,4,1
"49",11,4,7,11,1,1,19,2,1,1,1,4,1
"50",28,7,3,8,1,1,21,1,4,1,1,4,1
"51",15,8,7,14,1,1,1,1,1,1,1,9,1
"52",15,8,7,14,1,1,1,1,2,1,1,9,1
"53",12,2,5,15,1,1,5,1,0,1,1,9,1
"54",30,4,5,14,1,1,15,1,1,1,1,1,2
