"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","muni_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad","edad_m1","condicion_pil","tipo_vehi","marca_vehi","color_vehi","modelo_vehi","causa_acc"
"1",4392,18,9,7,0,1,8,1,7,1,22,3,1,2,1,1,4,9999,2
"2",4391,18,9,7,0,1,8,1,7,1,25,4,1,2,1,1,4,9999,2
"3",3015,27,6,1,17,1,1,1,10,1,42,7,1,2,1,1,4,2001,1
"4",541,2,2,3,17,1,1,1,5,2,10,1,2,2,4,10,3,9999,1
"5",3954,30,8,2,13,1,1,1,13,2,18,2,1,2,2,10,11,9999,1
"6",5505,26,11,6,21,1,1,2,10,1,19,2,1,2,4,10,5,9999,3
"7",2758,12,6,7,23,1,14,2,99,1,23,3,1,1,4,10,5,9999,2
"8",3697,10,8,3,22,1,1,2,11,1,24,3,1,1,4,10,3,9999,2
"9",4803,18,10,2,14,1,1,1,17,1,21,3,1,2,4,10,1,9999,1
"10",6011,28,12,3,1,16,1,1,1,1,24,3,1,2,8,10,3,1970,2
"11",2759,12,6,7,23,1,14,2,99,1,25,4,1,2,4,10,5,9999,2
"12",4001,3,9,6,7,1,8,1,8,1,29,4,1,2,4,10,3,9999,2
"13",4813,20,10,4,21,1,1,1,12,1,26,4,1,2,4,10,1,9999,1
"14",4000,3,9,6,7,1,8,1,8,1,30,5,1,2,4,10,3,9999,2
"15",4707,15,10,6,8,1,1,1,7,1,33,5,1,2,4,10,1,2007,1
"16",540,2,2,3,17,1,1,1,5,1,35,6,1,2,4,10,3,9999,1
"17",743,15,2,2,12,18,4,2,99,2,38,6,1,2,2,10,99,1997,1
"18",3839,21,8,7,23,1,1,1,7,1,35,6,9,1,4,10,5,9999,1
"19",3999,3,9,6,7,1,8,1,8,2,35,6,1,1,4,10,3,9999,2
"20",741,15,2,2,12,18,4,2,99,1,64,9,1,2,2,10,99,1997,1
"21",742,15,2,2,12,18,4,2,99,2,64,9,1,2,2,10,99,1997,1
"22",1591,8,4,5,14,20,4,2,99,1,14,1,2,1,3,11,99,9999,1
"23",1592,8,4,5,14,20,4,2,99,1,10,1,2,1,3,11,99,9999,1
"24",2262,15,5,7,8,16,1,1,4,2,8,1,2,2,3,11,2,9999,1
"25",2263,15,5,7,8,16,1,1,4,2,9,1,2,2,3,11,2,9999,1
