"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","g_edad","Fallecidos_Lesionados","Otro_g_edad_fall_les"
"1",1,1,1,2,5,1,1,101,1,11,1,34,5,1,1,2,5,2,5,5,2,4
"2",2,1,1,2,5,1,1,101,1,11,2,15,4,2,1,2,5,2,5,2,2,3
"3",3,1,1,2,5,1,1,101,1,11,2,34,5,1,1,2,5,2,5,5,2,4
"4",4,1,1,2,0,1,19,1901,2,99,1,21,4,1,4,1,5,2,24,3,1,3
"5",5,1,1,2,0,1,19,1901,2,99,1,22,4,1,4,1,5,2,24,3,2,3
"6",6,1,1,2,18,4,19,1901,2,99,1,19,4,1,3,1,6,3,44,2,2,3
"7",7,1,1,2,18,4,19,1901,2,99,1,11,4,2,3,1,6,3,44,1,2,2
"8",8,1,1,2,18,4,19,1901,2,99,1,13,4,2,3,1,6,3,44,1,2,2
"9",9,1,1,2,18,4,19,1901,2,99,1,23,4,1,3,1,6,3,44,3,2,3
"10",10,1,1,2,18,4,19,1901,2,99,2,15,4,2,3,1,6,3,44,2,2,3
"11",11,1,1,2,18,4,19,1901,2,99,1,19,4,1,3,1,6,3,44,2,2,3
"12",12,1,1,2,18,4,19,1901,2,99,1,15,4,2,3,1,6,3,44,2,2,3
"13",13,1,1,2,18,4,19,1901,2,99,2,17,4,2,3,1,6,3,44,2,2,3
"14",14,1,1,2,18,4,19,1901,2,99,1,19,4,1,3,1,6,3,44,2,2,3
"15",15,1,1,2,18,4,19,1901,2,99,1,16,4,2,3,1,6,3,44,2,2,3
"16",16,1,1,2,0,1,5,502,2,99,1,24,4,1,4,5,4,2,2,3,1,3
"17",17,1,1,2,1,1,12,1217,2,99,1,999,9,1,4,3,6,1,40,11,2,8
"18",18,1,1,2,7,2,13,1322,2,99,2,40,6,1,3,99,6,3,44,7,1,4
"19",19,1,1,2,7,2,13,1322,2,99,1,19,4,1,3,99,6,3,44,2,1,3
"20",20,1,1,2,7,2,13,1322,2,99,1,65,8,1,3,99,6,3,44,10,1,6
"21",21,1,1,2,3,1,18,1801,2,99,1,25,5,1,4,99,6,2,99,4,2,3
"22",22,1,1,2,3,1,18,1801,2,99,1,18,4,1,4,99,6,2,99,2,2,3
"23",23,1,1,2,4,1,3,301,2,99,2,25,5,1,4,99,6,2,99,4,1,3
"24",24,1,1,2,2,1,3,308,2,99,1,22,4,1,4,5,6,2,99,3,1,3
"25",25,2,1,3,15,3,1,101,1,1,2,31,5,1,3,2,4,1,44,5,2,4
"26",26,2,1,3,15,3,1,101,1,1,1,26,5,1,4,99,6,1,99,4,2,3
"27",27,2,1,3,7,2,5,501,2,99,1,32,5,1,4,99,6,1,99,5,2,4
"28",28,2,1,3,18,4,13,1301,1,3,1,999,9,1,4,99,6,1,99,11,2,8
"29",29,2,1,3,10,2,16,1608,2,99,1,43,6,1,12,7,3,3,13,7,2,4
"30",30,2,1,3,10,2,16,1608,2,99,1,30,5,1,12,7,3,3,13,5,2,4
"31",31,2,1,3,10,2,16,1608,2,99,1,35,5,1,12,7,3,3,13,6,2,4
"32",32,2,1,3,10,2,16,1608,2,99,1,37,5,1,12,7,3,3,13,6,2,4
"33",33,2,1,3,10,2,16,1608,2,99,1,53,7,1,12,7,3,3,13,9,2,5
"34",34,2,1,3,10,2,16,1608,2,99,1,28,5,1,12,7,3,3,13,4,2,3
"35",35,2,1,3,10,2,16,1608,2,99,1,38,5,1,12,7,3,3,13,6,1,4
"36",36,2,1,3,22,4,1,101,1,5,2,45,6,1,1,3,6,1,44,8,2,5
"37",37,2,1,3,10,2,6,611,2,99,2,21,4,1,12,99,6,3,99,3,2,3
"38",38,2,1,3,10,2,6,611,2,99,2,40,6,1,12,99,6,3,99,7,2,4
"39",39,2,1,3,10,2,6,611,2,99,1,1,2,2,12,99,6,3,99,1,2,1
"40",40,2,1,3,10,2,6,611,2,99,2,52,7,1,12,99,6,3,99,9,2,5
"41",41,2,1,3,10,2,6,611,2,99,1,8,3,2,12,99,6,3,99,1,2,2
"42",42,2,1,3,10,2,6,611,2,99,2,58,7,1,12,99,6,3,99,10,2,5
"43",43,2,1,3,10,2,6,611,2,99,1,48,6,1,12,99,6,3,99,8,2,5
"44",44,2,1,3,10,2,6,611,2,99,1,53,7,1,12,99,6,3,99,9,2,5
"45",45,2,1,3,7,2,1,101,1,1,1,74,8,1,12,6,6,1,99,10,2,7
"46",46,2,1,3,7,2,1,101,1,1,1,48,6,1,12,6,6,1,99,8,2,5
"47",47,3,1,4,11,2,1,101,1,10,1,37,5,1,12,1,3,1,3,6,2,4
"48",48,3,1,4,11,2,1,101,1,10,2,39,5,1,12,1,3,1,3,6,2,4
"49",49,3,1,4,11,2,1,101,1,10,2,22,4,1,12,1,3,1,3,3,2,3
"50",50,3,1,4,14,3,5,501,1,3,1,22,4,1,4,99,6,1,99,3,1,3
"51",51,3,1,4,19,4,9,917,2,99,1,56,7,1,4,1,6,1,99,10,2,5
"52",52,3,1,4,20,4,13,1301,2,99,1,27,5,1,3,3,6,3,44,4,2,3
"53",53,3,1,4,20,4,13,1301,2,99,1,20,4,1,3,3,6,3,44,3,2,3
"54",54,3,1,4,22,4,2,203,2,99,2,14,4,2,9,2,6,1,20,1,2,2
"55",55,3,1,4,22,4,2,203,2,99,2,56,7,1,9,2,6,1,20,10,2,5
"56",56,3,1,4,22,4,2,203,2,99,1,7,3,2,9,2,6,1,20,1,2,2
"57",57,3,1,4,22,4,2,203,2,99,1,69,8,1,9,2,6,1,20,10,2,6
"58",58,3,1,4,22,4,2,203,2,99,2,41,6,1,9,2,6,1,20,7,2,4
"59",59,3,1,4,22,4,2,203,2,99,2,69,8,1,9,2,6,1,20,10,2,6
"60",60,3,1,4,22,4,2,203,2,99,2,15,4,2,9,2,6,1,20,2,2,3
"61",61,3,1,4,22,4,2,203,2,99,2,14,4,2,9,2,6,1,20,1,2,2
"62",62,3,1,4,22,4,2,203,2,99,2,50,7,1,9,2,6,1,20,9,2,5
"63",63,3,1,4,22,4,2,203,2,99,1,35,5,1,9,2,6,1,20,6,2,4
"64",64,3,1,4,16,3,7,701,2,99,1,75,8,1,9,4,6,3,20,10,2,7
"65",65,3,1,4,16,3,7,701,2,99,2,74,8,1,9,4,6,3,20,10,2,7
"66",66,4,1,5,17,3,1,101,1,9,1,22,4,1,4,5,6,1,42,3,2,3
"67",67,4,1,5,7,2,1,101,1,18,1,39,5,1,4,99,6,3,99,6,2,4
"68",68,4,1,5,6,2,20,2008,2,99,1,9,3,2,1,2,2,1,99,1,2,2
"69",69,4,1,5,6,2,20,2008,2,99,1,31,5,1,1,2,2,1,99,5,2,4
"70",70,4,1,5,6,2,20,2008,2,99,2,29,5,1,1,2,2,1,99,4,2,3
"71",71,4,1,5,6,2,20,2008,2,99,2,13,4,2,1,2,2,1,99,1,2,2
"72",72,4,1,5,6,2,20,2008,2,99,2,15,4,2,1,2,2,1,99,2,2,3
