"","num_hecho","dia_ocu","mes_ocu","a�.o_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","sexo_pil","edad_pil","g_edad_pil","estado_pil","tipo_vehi","color_vehi","modelo_vehi","causa_acc"
"1",1449,13,"Mayo",9,"Miercoles",1,"Quiche","Urbano","Ignorado","Ignorado","Ignorado","Ebrio","Pick up","Blanco",NA,"Empotro"
"2",1587,1,"Julio",9,"Lunes",15,"Jutiapa","Rural","Mujer",NA,"15-19","Normal","Motocicleta","Gris","Ignorado","Empotro"
"3",679,1,"Marzo",9,"Domingo",17,"Peten","Rural","Hombre",NA,"15-19","Normal","Motocicleta","Ignorado","Ignorado","Caida"
"4",633,26,"Febrero",9,"Jueves",18,"Jalapa","Rural","Hombre",NA,"15-19","Ignorado","Automovil","Rojo","Ignorado","Caida"
"5",673,1,"Marzo",9,"Domingo",15,"Suchitepequez","Urbano","Hombre",NA,"15-19","Ignorado","Mototaxi","Rojo",NA,"Empotro"
"6",1046,5,"Abril",9,"Domingo",14,"Izabal","Urbano","Hombre",NA,"15-19","Ignorado","Mototaxi","Rojo","Ignorado","Caida"
"7",946,26,"Marzo",9,"Jueves",8,"San Marcos","Rural","Hombre",NA,"15-19","Normal","Pick up","Verde","Ignorado","Empotro"
"8",1815,27,"Junio",9,"Sabado",11,"Baja Verapaz","Rural","Hombre",NA,"15-19","Normal","Pick up","Rojo","Ignorado","Empotro"
"9",1163,14,"Abril",9,"Martes",14,"Baja Verapaz","Rural","Hombre",NA,"15-19","Normal","Pick up","Blanco","Ignorado","Volco"
"10",935,25,"Marzo",9,"Miercoles",9,"San Marcos","Rural","Hombre",NA,"15-19","Normal","Pick up","Azul","Ignorado","Caida"
"11",2794,1,"Octubre",9,"Jueves",20,"Quiche","Rural","Hombre",NA,"15-19","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
"12",678,1,"Marzo",9,"Domingo",11,"Peten","Rural","Hombre",NA,"15-19","Normal","Motocicleta","Ignorado","Ignorado","Caida"
"13",583,22,"Febrero",9,"Domingo",23,"Guatemala","Urbano","Hombre",NA,"15-19","Ignorado","Automovil","Rojo","Ignorado","Empotro"
"14",2940,18,"Octubre",9,"Domingo",15,"Chiquimula","Rural","Mujer",NA,"15-19","Ignorado","Pick up","Rojo","Ignorado","Caida"
"15",2631,11,"Septiembre",9,"Viernes",19,"Quiche","Urbano","Mujer",NA,"15-19","Ignorado","Motocicleta","Negro",NA,"Colisión"
"16",2397,15,"Agosto",9,"Sabado",20,"Chiquimula","Rural","Hombre",NA,"15-19","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
"17",2979,23,"Octubre",9,"Viernes",11,"Huehuetenango","Rural","Hombre",NA,"15-19","Ignorado","Motocicleta","Ignorado","Ignorado","Colisión"
"18",3500,28,"Diciembre",9,"Lunes",16,"Guatemala","Urbano","Hombre",NA,"15-19","Ignorado","Motocicleta","Negro","Ignorado","Colisión"
"19",513,15,"Febrero",9,"Domingo",18,"Quiche","Urbano","Hombre",NA,"15-19","Ignorado","Motocicleta","Azul","Ignorado","Caida"
