"","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","estado_pil","tipo_v","color_v","modelo_v","causa_ac"
"1",1,12,3,0,19,2,99,1,35,1,1,4,9999,1
"2",1,9,3,1,1,1,18,1,23,1,1,2,9999,1
"3",1,11,1,1,1,1,1,1,23,9,1,1,9999,1
"4",1,3,1,2,1,1,1,1,20,9,4,5,9999,1
"5",1,2,1,4,1,1,1,2,37,2,1,1,1993,1
"6",1,7,4,4,1,1,1,9,999,9,5,99,9999,1
"7",1,5,6,6,1,1,9,1,24,2,1,4,9999,2
"8",1,8,7,10,1,1,1,1,42,1,12,1,1998,1
"9",1,4,4,17,1,1,17,1,999,9,4,1,9999,1
"10",1,1,5,21,1,2,99,9,999,9,1,3,9999,1
"11",1,10,5,23,1,1,5,1,26,1,4,5,9999,1
"12",1,6,2,23,5,2,99,1,41,1,1,9,1998,4
"13",1,10,5,0,11,1,1,1,25,1,3,5,9999,1
"14",1,7,4,2,1,1,17,9,999,9,3,2,9999,2
"15",1,3,1,3,1,2,99,1,42,9,4,5,9999,1
"16",1,6,2,7,14,2,99,1,16,1,3,1,1985,3
"17",1,5,6,8,1,1,4,1,37,9,4,5,9999,1
"18",1,9,3,8,1,1,9,1,29,1,12,7,1995,1
"19",1,8,7,11,12,2,99,9,999,9,3,4,1987,4
"20",1,12,3,20,5,2,99,9,999,9,14,1,2004,1
"21",1,1,5,20,22,2,99,1,21,9,4,5,9999,4
"22",1,4,4,21,1,1,12,1,39,1,1,9,1997,1
"23",1,11,1,22,1,1,3,9,999,9,10,99,9999,1
"24",1,2,1,23,9,2,99,1,35,2,1,4,2004,2
"25",1,11,1,0,22,2,99,1,32,9,2,4,9999,4
"26",1,7,4,1,1,1,13,1,999,1,9,99,9999,1
"27",1,1,5,1,5,2,99,1,35,2,4,3,9999,4
"28",1,8,7,4,19,2,99,1,19,1,3,5,9999,2
"29",1,5,6,7,1,1,1,9,999,9,99,99,9999,1
"30",1,9,3,7,2,2,99,1,30,1,1,4,2004,1
"31",1,3,1,7,1,1,12,1,22,9,12,1,9999,3
"32",1,12,3,11,5,2,99,1,22,1,3,5,9999,1
"33",1,6,2,12,14,2,99,1,19,2,14,1,2008,3
"34",1,4,4,15,1,1,12,1,25,2,2,3,2003,2
"35",1,2,1,17,13,2,99,1,25,9,3,2,2006,1
"36",1,10,5,22,14,2,99,1,27,2,3,5,9999,2
"37",1,4,4,5,1,2,99,1,28,1,3,1,9999,4
"38",1,7,4,6,1,2,99,9,999,9,1,5,1991,2
"39",1,3,1,7,1,1,11,1,33,9,4,99,9999,1
"40",1,6,2,7,3,2,99,1,70,1,4,1,9999,1
"41",1,11,1,10,5,2,99,2,67,9,1,3,2006,1
"42",1,8,7,11,5,1,1,1,48,1,2,4,9999,1
"43",2,10,6,14,1,2,99,1,27,2,4,2,9999,1
"44",1,1,5,15,5,2,99,1,25,1,4,1,9999,1
"45",1,9,3,16,7,2,99,1,27,1,1,16,1990,1
"46",2,2,2,17,1,2,99,1,27,9,4,99,2005,1
"47",1,12,3,18,16,2,99,2,26,1,2,6,9999,1
"48",1,5,6,20,1,1,1,1,28,1,4,99,9999,1
"49",1,4,4,5,1,1,11,1,28,2,1,6,1997,3
"50",1,9,3,7,3,2,99,1,25,1,4,1,2008,1
"51",1,6,2,9,11,2,99,1,47,1,4,1,2008,1
"52",1,3,1,10,11,2,99,1,40,9,3,11,2006,1
"53",1,12,3,12,16,2,99,1,21,9,5,1,9999,2
"54",1,8,7,14,5,2,99,2,28,1,1,4,2007,3
"55",2,10,6,14,22,2,99,1,31,9,5,3,1993,3
"56",2,2,2,17,8,2,99,1,64,9,7,8,1984,3
"57",1,1,5,18,5,2,99,1,38,2,3,8,9999,1
"58",1,5,6,18,1,1,18,1,33,1,1,5,9999,1
"59",1,11,1,19,5,1,99,1,21,9,4,1,2007,1
"60",1,7,4,19,20,2,99,1,35,9,99,99,9999,2
"61",1,1,5,0,11,2,99,1,54,1,3,3,9999,2
"62",1,9,3,8,9,2,99,1,50,1,9,3,9999,2
"63",1,5,6,10,1,1,10,1,57,1,4,1,9999,1
"64",1,7,4,18,16,2,99,1,999,1,2,11,9999,1
"65",3,2,3,19,1,1,9,2,19,1,1,9,9999,1
"66",1,12,3,19,18,2,99,9,999,9,6,1,9999,1
"67",2,3,2,21,1,1,1,1,28,9,1,1,1998,1
"68",1,4,4,22,1,1,3,9,999,9,2,10,9999,2
"69",1,8,7,22,9,1,1,1,22,1,9,2,1997,1
"70",1,11,1,22,5,2,99,1,44,2,3,6,1995,4
"71",2,6,3,23,1,1,8,1,48,1,9,2,9999,1
"72",2,10,6,23,20,2,99,1,36,9,3,3,9999,2
"73",2,6,3,2,1,1,11,1,28,1,4,1,2007,2
"74",2,12,4,6,1,1,12,1,22,9,3,6,2001,1
"75",1,8,7,6,13,2,99,1,22,2,3,99,9999,2
"76",1,5,6,7,1,1,7,1,22,2,1,5,9999,2
"77",3,2,3,8,12,2,99,9,999,9,7,2,9999,3
"78",2,10,6,11,5,2,99,1,50,9,4,5,2005,1
"79",1,11,1,11,5,2,99,1,22,9,3,2,9999,2
