"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","muni_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_pil","edad_m1","estado_pil","tipo_vehiculo","marca_vehi","color_vehi","modelo_vehi","causa_acc"
"1",200,27,6,1,17,1,1,2,10,1,42,7,1,1,1,1,4,2001,1
"2",128,18,9,7,0,1,8,2,7,1,25,4,1,2,1,1,4,9999,2
"3",28,5,10,3,19,9,1,1,99,1,26,4,1,2,1,1,1,9999,1
"4",108,15,2,2,12,18,4,1,99,1,59,10,1,9,2,10,99,1997,1
"5",126,17,6,5,18,1,1,2,11,2,25,4,1,1,2,10,5,2000,1
"6",79,10,8,3,22,1,1,2,11,1,24,3,1,1,4,10,3,9999,2
"7",11,3,9,6,7,1,8,2,8,2,35,6,1,9,4,10,3,9999,2
"8",113,18,10,2,14,1,1,2,17,1,22,3,1,9,4,10,1,9999,1
"9",119,20,10,4,21,1,1,2,12,1,26,4,1,1,4,10,1,9999,1
"10",217,26,11,6,0,1,1,1,10,1,19,2,1,1,4,10,5,9999,3
"11",231,28,12,3,1,16,1,1,1,1,24,3,1,2,8,10,3,1970,2
"12",251,31,1,1,21,8,5,1,99,1,39,6,1,9,3,11,99,1982,1
"13",253,31,1,1,22,14,1,2,1,1,29,4,1,2,9,11,4,2000,2
"14",82,10,2,4,5,1,1,2,10,1,999,99,1,9,3,11,2,1999,1
"15",131,22,4,5,0,2,1,1,99,1,29,4,1,2,2,11,9,9999,1
"16",216,27,5,5,19,18,1,2,99,1,31,5,1,9,9,11,16,1997,1
"17",151,24,7,7,23,1,1,2,1,2,20,3,1,9,9,11,3,2000,1
"18",63,7,8,7,12,9,1,2,1,1,999,99,1,1,3,11,2,9999,1
"19",139,20,8,6,5,1,1,2,14,1,53,9,1,9,3,11,4,2000,1
"20",182,27,8,6,18,1,1,2,5,2,26,4,1,1,3,11,4,2003,1
"21",158,22,9,4,16,10,6,1,99,1,49,8,1,1,3,11,4,9999,2
