"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad","edad_m1","condicion_pil","tipo_vehi","color_vehi","causa_acc"
"1",1,1,1,7,12,1,101,1,3,1,40,7,1,1,1,6,1
"2",2,1,1,7,17,1,101,1,18,1,44,7,1,2,1,2,1
"3",3,1,1,7,10,1,102,2,99,1,52,9,1,1,3,2,2
"4",4,1,1,7,17,1,101,1,11,2,35,6,1,1,1,2,1
"5",5,1,1,7,9,1,108,1,6,1,19,2,1,2,4,2,1
"6",6,1,1,7,12,1,108,2,1,1,40,7,1,2,12,1,3
"7",7,1,1,7,11,1,110,2,99,1,43,7,1,1,4,1,2
"8",8,1,1,7,10,22,2215,2,99,1,31,5,1,1,3,1,2
"9",9,1,1,7,16,21,2103,2,99,1,42,7,1,2,3,4,1
"10",10,1,1,7,2,20,2007,2,99,1,45,8,1,2,1,9,1
"11",11,1,1,7,0,19,1901,2,99,1,33,5,1,2,3,6,3
"12",12,1,1,7,19,19,1903,2,99,1,999,11,1,2,2,11,2
"13",13,1,1,7,22,19,1903,2,99,1,38,6,1,1,3,3,1
"14",14,1,1,7,17,5,501,2,99,1,35,6,1,2,3,7,3
"15",15,1,1,7,11,5,501,2,99,1,999,11,1,1,3,99,3
"16",16,1,1,7,12,10,1002,2,99,1,76,10,1,1,3,99,3
"17",17,1,1,7,11,11,1102,2,99,1,27,4,1,2,3,4,1
"18",18,1,1,7,19,9,918,2,99,1,28,4,1,2,3,5,1
"19",19,1,1,7,14,12,1203,2,99,1,29,4,1,2,3,1,1
"20",20,1,1,7,4,13,1301,2,99,1,29,4,1,1,3,5,3
"21",21,1,1,7,15,13,1301,2,99,9,999,11,9,9,2,99,1
"22",22,1,1,7,6,13,1301,2,99,1,29,4,1,2,3,5,3
"23",23,1,1,7,13,15,1507,2,99,1,26,4,1,2,4,5,2
"24",24,1,1,7,17,2,201,2,99,1,27,4,1,2,14,1,3
"25",25,1,1,7,2,18,1801,2,99,9,999,11,1,9,4,1,1
"26",26,1,1,7,2,17,1712,2,99,1,46,8,1,1,3,99,3
"27",27,1,1,7,14,7,701,2,99,9,999,11,1,9,3,1,2
"28",28,2,1,1,22,1,101,1,3,1,38,6,1,1,1,2,1
"29",29,2,1,1,22,1,113,2,99,9,999,11,1,1,3,1,1
"30",30,2,1,1,13,1,108,1,3,1,33,5,1,2,1,6,1
"31",31,2,1,1,22,1,108,1,4,1,30,5,1,1,4,1,3
"32",32,2,1,1,10,20,2010,2,99,9,999,11,1,9,3,99,3
"33",33,2,1,1,17,6,601,2,99,1,32,5,1,1,3,4,1
"34",34,2,1,1,22,10,1001,2,99,1,45,8,1,2,1,14,1
"35",35,2,1,1,7,10,1001,1,1,1,22,3,1,9,4,1,2
"36",36,2,1,1,21,15,1502,2,99,1,38,6,1,1,3,9,3
"37",37,2,1,1,22,2,206,2,99,9,999,11,9,9,3,99,2
"38",38,2,1,1,11,7,701,2,99,1,58,10,1,1,9,6,1
"39",39,2,1,1,16,7,710,2,99,1,56,10,1,1,3,9,1
"40",40,3,1,2,19,1,105,2,99,1,24,3,1,1,4,1,3
"41",41,3,1,2,6,1,113,2,99,1,25,4,1,9,6,11,1
"42",42,3,1,2,18,1,101,1,10,1,53,9,1,1,1,1,1
"43",43,3,1,2,9,10,1020,2,99,1,76,10,1,1,5,99,1
"44",44,3,1,2,8,14,1405,2,99,1,36,6,1,1,9,6,1
"45",45,3,1,2,15,14,1401,2,99,1,29,4,1,1,2,2,2
"46",46,3,1,2,9,10,1020,2,99,1,31,5,1,1,3,2,1
"47",47,4,1,3,16,1,115,2,99,1,37,6,1,1,5,3,1
"48",48,4,1,3,10,1,115,2,99,1,44,7,1,1,3,6,2
"49",49,4,1,3,19,5,501,1,1,1,25,4,1,1,3,1,1
"50",50,5,1,4,18,1,101,1,6,1,38,6,1,1,8,2,1
"51",51,5,1,4,21,1,102,2,99,1,20,3,1,2,1,2,1
"52",52,5,1,4,9,1,115,1,12,1,36,6,1,1,3,16,1
"53",53,5,1,4,18,18,1801,2,99,1,40,7,1,1,4,99,1
"54",54,6,1,5,20,5,501,2,99,9,999,11,9,9,6,2,1
"55",55,6,1,5,11,14,1401,2,99,9,999,11,9,9,14,1,4
"56",56,7,1,6,21,1,101,1,1,1,31,5,1,1,2,2,1
"57",57,7,1,6,22,1,101,1,17,1,25,4,1,1,1,2,1
"58",58,7,1,6,18,22,2201,2,99,1,36,6,1,9,4,1,1
"59",59,7,1,6,20,6,602,2,99,1,56,10,1,9,5,2,1
"60",60,7,1,6,11,11,1101,2,99,1,32,5,1,9,4,1,1
"61",61,7,1,6,22,9,901,2,99,1,21,3,1,2,9,1,1
"62",62,7,1,6,1,15,1501,2,99,1,999,11,1,1,1,3,2
"63",63,7,1,6,13,2,201,2,99,1,60,10,1,1,1,6,2
"64",64,7,1,6,12,3,301,2,99,1,32,5,1,1,1,4,1
"65",65,8,1,7,21,5,502,2,99,1,25,4,1,1,4,99,1
"66",66,8,1,7,1,13,1301,2,99,1,49,8,1,2,3,99,2
"67",67,8,1,7,1,1,101,1,12,1,23,3,1,9,1,99,2
"68",68,8,1,7,16,17,1704,1,99,1,28,4,1,9,4,99,2
"69",69,8,1,7,1,1,108,1,7,1,29,4,1,9,1,4,1
"70",70,9,1,1,0,1,102,2,99,1,22,3,1,9,4,99,3
"71",71,9,1,1,15,1,117,1,9,1,36,6,1,9,3,1,1
"72",72,9,1,1,16,9,909,2,99,1,39,6,1,2,5,2,1
"73",73,9,1,1,11,13,1304,2,99,1,999,11,9,9,3,99,3
"74",74,9,1,1,20,8,803,2,99,1,44,7,1,2,3,4,1
"75",75,9,1,1,7,7,718,2,99,1,34,5,1,1,5,14,3
"76",76,9,1,1,5,4,409,2,99,9,999,11,1,9,7,6,3
"77",77,9,1,1,7,4,406,2,99,9,999,11,1,9,7,6,3
"78",78,9,1,1,15,3,306,2,99,1,27,4,1,2,3,5,2
"79",79,9,1,1,11,3,308,2,99,1,999,11,9,9,1,2,3
"80",80,10,1,2,20,9,920,2,99,1,32,5,1,1,4,8,1
"81",81,10,1,2,12,9,901,1,1,1,24,3,1,1,1,6,1
"82",82,10,1,2,1,9,903,2,99,9,999,11,9,9,12,1,1
"83",83,10,1,2,19,12,1202,2,99,1,31,5,1,2,9,5,2
"84",84,11,1,3,9,1,115,2,4,1,23,3,1,1,4,5,1
"85",85,11,1,3,11,5,502,2,99,1,31,5,1,1,16,99,3
"86",86,11,1,3,17,5,511,2,99,9,999,11,1,1,5,99,1
"87",87,11,1,3,18,5,511,2,99,1,999,11,1,1,7,6,3
"88",88,11,1,3,18,9,901,2,2,1,35,6,1,1,3,2,1
"89",89,11,1,3,20,8,803,1,1,9,999,11,9,1,3,99,1
"90",90,12,1,4,0,1,101,1,3,1,999,11,1,1,3,5,1
"91",91,12,1,4,5,1,101,1,6,9,999,11,9,9,1,3,2
"92",92,12,1,4,21,1,117,1,99,1,23,3,1,1,1,3,1
"93",93,12,1,4,18,21,2102,2,99,1,19,2,1,2,4,1,2
"94",94,12,1,4,8,20,2007,2,99,1,51,9,1,1,1,9,1
"95",95,12,1,4,8,5,502,2,99,1,24,3,1,1,5,2,2
"96",96,12,1,4,20,9,920,2,99,1,36,6,1,1,7,2,1
"97",97,12,1,4,10,12,1202,2,99,9,999,11,9,9,3,4,3
"98",98,12,1,4,9,16,1611,2,99,1,26,4,1,1,4,99,1
