"","num_vehí","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_pil","edad_m1","condic_pil","tipo_vehi","color_vehi","modelo_vehi","causa_acc"
"1",1,1,1,7,12,1,101,1,3,1,40,7,1,1,1,6,1999,1
"2",2,1,1,7,12,1,101,1,3,1,65,10,1,1,1,1,1997,1
"3",3,1,1,7,17,1,101,1,18,1,44,7,1,2,1,2,9999,1
"4",4,1,1,7,17,1,101,1,18,1,999,11,1,1,3,5,9999,1
"5",5,1,1,7,10,1,102,2,99,1,52,9,1,1,3,4,9999,2
"6",6,1,1,7,17,1,101,1,11,2,35,6,1,1,1,2,1997,1
"7",7,1,1,7,17,1,101,1,11,1,44,7,1,2,3,4,9999,1
"8",8,1,1,7,17,1,101,1,11,1,999,11,1,1,3,99,9999,1
"9",9,1,1,7,9,1,108,1,6,1,19,2,1,2,4,2,9999,1
"10",10,1,1,7,9,1,108,1,6,1,28,4,1,1,4,1,9999,1
"11",11,1,1,7,12,1,108,2,1,1,40,7,1,2,12,1,1990,3
"12",12,1,1,7,11,1,110,2,99,1,43,7,1,1,4,1,2000,2
"13",13,1,1,7,10,22,2215,2,99,1,31,5,1,1,3,1,9999,2
"14",14,1,1,7,16,21,2103,2,99,1,42,7,1,2,3,4,1987,1
"15",15,1,1,7,16,21,2103,2,99,1,23,3,1,1,4,1,2005,1
"16",16,1,1,7,2,20,2007,2,99,1,45,8,1,2,1,9,1978,1
"17",17,1,1,7,2,20,2007,2,99,1,19,2,1,2,1,5,1995,1
"18",18,1,1,7,0,19,1901,2,99,1,33,5,1,2,3,6,1994,3
"19",19,1,1,7,19,19,1903,2,99,1,999,11,1,2,2,11,9999,2
"20",20,1,1,7,18,19,1903,2,99,1,58,10,1,2,2,11,9999,1
"21",21,1,1,7,18,19,1903,2,99,1,41,7,1,1,2,2,2003,1
"22",22,1,1,7,18,19,1903,2,99,1,42,7,1,1,3,6,1995,1
"23",23,1,1,7,22,19,1903,2,99,1,38,6,1,1,3,3,9999,1
"24",24,1,1,7,22,19,1903,2,99,1,58,10,1,1,3,5,2010,1
"25",25,1,1,7,17,5,501,2,99,1,35,6,1,2,3,7,2004,3
"26",26,1,1,7,11,5,501,2,99,1,999,11,1,1,3,99,9999,3
"27",27,1,1,7,12,10,1002,2,99,1,76,10,1,1,3,99,9999,3
"28",28,1,1,7,11,11,1102,2,99,1,27,4,1,2,3,4,9999,1
"29",29,1,1,7,11,11,1102,2,99,1,43,7,1,1,1,5,2002,1
"30",30,1,1,7,19,9,918,2,99,1,28,4,1,2,3,5,1990,1
"31",31,1,1,7,19,9,918,2,99,1,19,2,1,2,3,1,9999,1
"32",32,1,1,7,14,12,1203,2,99,1,29,4,1,2,3,1,9999,1
"33",33,1,1,7,14,12,1203,2,99,1,29,4,1,1,1,11,2000,1
"34",34,1,1,7,4,13,1301,2,99,1,29,4,1,1,3,5,9999,3
"35",35,1,1,7,15,13,1301,2,99,9,999,11,9,9,2,99,9999,1
"36",36,1,1,7,15,13,1301,2,99,1,24,3,1,9,3,10,9999,1
"37",37,1,1,7,6,13,1301,2,99,1,29,4,1,2,3,5,9999,3
"38",38,1,1,7,13,15,1507,2,99,1,26,4,1,2,4,5,9999,2
"39",39,1,1,7,17,2,201,2,99,1,27,4,1,2,14,1,2009,3
"40",40,1,1,7,2,18,1801,2,99,9,999,11,1,9,4,1,9999,1
"41",41,1,1,7,2,18,1801,2,99,2,19,2,1,1,4,99,9999,1
"42",42,1,1,7,2,17,1712,2,99,1,46,8,1,1,3,99,9999,3
"43",43,1,1,7,14,7,701,2,99,9,999,11,1,9,3,1,9999,2
"44",44,2,1,1,22,1,101,1,3,1,38,6,1,1,1,2,2002,1
"45",45,2,1,1,22,1,101,1,3,1,18,2,1,1,1,2,9999,1
"46",46,2,1,1,22,1,113,2,99,9,999,11,1,1,3,1,9999,1
"47",47,2,1,1,22,1,113,2,99,1,23,3,1,1,4,1,9999,1
"48",48,2,1,1,13,1,108,1,3,1,33,5,1,2,1,6,1994,1
"49",49,2,1,1,13,1,108,1,3,1,42,7,1,1,1,2,1991,1
"50",50,2,1,1,13,1,108,1,3,1,21,3,1,1,12,1,9999,1
"51",51,2,1,1,22,1,108,1,4,1,30,5,1,1,4,1,9999,3
